Id,LotFrontage,LotArea,BldgType,OverallQual,YearBuilt,YearRemodAdd,Foundation,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageCars,GarageArea,GarageQual,MiscFeature,MoSold,YrSold,SalePrice
159,100,12552,1Fam,7,2004,2005,PConc,991,GasA,Ex,Y,991,956,1947,2,1,3,1,Gd,8,1,Gd,2004,2,678,TA,NA,5,2010,254900
160,134,19378,1Fam,7,2005,2006,PConc,1392,GasA,Ex,Y,1392,1070,2462,2,1,4,1,Gd,9,1,Gd,2006,2,576,TA,NA,3,2006,320000
161,NA,11120,1Fam,6,1984,1984,PConc,1232,GasA,TA,Y,1232,0,1232,2,0,3,1,TA,6,0,NA,1984,2,516,TA,NA,6,2008,162500
162,110,13688,1Fam,9,2003,2004,PConc,1572,GasA,Ex,Y,1572,1096,2668,2,1,3,1,Ex,10,2,Gd,2003,3,726,TA,NA,3,2008,412500
163,95,12182,1Fam,7,2005,2005,PConc,1541,GasA,Ex,Y,1541,0,1541,2,0,3,1,Gd,7,1,Gd,2005,2,532,TA,NA,5,2010,220000
164,55,5500,1Fam,4,1956,1956,CBlock,882,GasA,Ex,Y,882,0,882,1,0,1,1,TA,4,0,NA,NA,0,0,NA,NA,4,2007,103200
165,40,5400,1Fam,6,1926,2004,BrkTil,1149,GasA,Gd,Y,1149,467,1616,2,0,3,1,Gd,5,0,NA,1926,1,216,TA,NA,10,2007,152000
166,62,10106,2fmCon,5,1940,1999,BrkTil,644,GasA,Gd,Y,808,547,1355,2,0,4,2,TA,6,0,NA,NA,0,0,NA,NA,9,2008,127500
167,NA,10708,1Fam,5,1955,1993,CBlock,1617,GasA,Ex,Y,1867,0,1867,1,0,2,1,TA,7,3,Gd,1955,1,303,TA,NA,11,2009,190000
168,86,10562,1Fam,8,2007,2007,PConc,1582,GasA,Ex,Y,1610,551,2161,1,1,3,1,Ex,8,1,Gd,2007,3,789,TA,NA,11,2007,325624
169,62,8244,1Fam,7,2004,2004,PConc,840,GasA,Ex,Y,840,880,1720,2,1,3,1,Gd,7,1,Gd,2004,2,440,TA,NA,5,2007,183500
170,NA,16669,1Fam,8,1981,1981,CBlock,1686,GasA,TA,Y,1707,0,1707,2,1,2,1,TA,6,1,TA,1981,2,511,TA,NA,1,2006,228000
171,NA,12358,1Fam,5,1941,1950,CBlock,720,GasA,TA,Y,854,0,1382,1,1,2,1,TA,7,0,NA,1991,2,660,TA,NA,5,2007,128500
172,141,31770,1Fam,6,1960,1960,CBlock,1080,GasA,Fa,Y,1656,0,1656,1,0,3,1,TA,7,2,Gd,1960,2,528,TA,NA,5,2010,215000
173,44,5306,TwnhsE,7,1987,1987,PConc,1064,GasA,Gd,Y,1064,703,1767,2,0,2,1,Gd,5,1,TA,1987,2,504,Gd,NA,6,2006,239000
174,80,10197,1Fam,6,1961,1961,CBlock,1362,GasA,TA,Y,1362,0,1362,1,1,3,1,TA,6,1,TA,1961,2,504,TA,NA,6,2008,163000
175,47,12416,1Fam,6,1986,1986,CBlock,1606,GasA,TA,Y,1651,0,1651,2,0,3,1,TA,7,1,TA,1986,2,616,TA,NA,11,2008,184000
176,84,12615,1Fam,6,1950,2001,CBlock,1202,GasA,TA,Y,2158,0,2158,2,0,4,1,Gd,7,1,Gd,1950,2,576,TA,NA,6,2007,243000
177,97,10029,1Fam,6,1988,1989,PConc,1151,GasA,TA,Y,1164,896,2060,2,1,4,1,TA,8,1,TA,1988,2,521,TA,NA,9,2007,211000
178,NA,13650,1Fam,5,1958,1958,CBlock,1052,GasA,Ex,Y,1252,668,1920,2,0,4,1,Gd,8,1,Gd,1958,2,451,TA,NA,7,2006,172500
179,63,17423,1Fam,9,2008,2009,PConc,2216,GasA,Ex,Y,2234,0,2234,2,0,1,1,Ex,9,1,Gd,2009,3,1166,TA,NA,7,2009,501837
180,60,8520,1Fam,5,1923,2006,CBlock,968,GasA,TA,Y,968,0,968,1,0,2,1,TA,5,0,NA,1935,2,480,Fa,NA,7,2007,100000
181,NA,2117,Twnhs,6,2000,2000,PConc,756,GasA,Ex,Y,769,756,1525,2,1,3,1,Gd,5,1,TA,2000,2,440,TA,NA,6,2007,177000
182,54,7588,1Fam,7,1920,1950,BrkTil,793,GasA,Gd,Y,901,901,1802,1,1,4,1,TA,9,1,Gd,1920,1,216,Fa,NA,7,2006,200100
183,60,9060,1Fam,5,1957,2006,PConc,0,GasA,Ex,Y,1340,0,1340,1,0,3,1,TA,7,1,Gd,1957,1,252,TA,NA,6,2007,120000
184,63,11426,1Fam,7,2003,2003,PConc,1362,GasA,Ex,Y,1362,720,2082,2,1,3,1,Gd,6,0,NA,2003,2,484,TA,NA,6,2008,200000
185,92,7438,1Fam,5,1908,1991,PConc,504,GasA,Gd,Y,936,316,1252,1,0,3,1,TA,5,0,NA,1986,2,576,TA,NA,6,2006,127000
186,90,22950,1Fam,10,1892,1993,BrkTil,1107,GasA,Ex,Y,1518,1518,3608,2,1,4,1,Ex,12,2,TA,1993,3,840,Ex,NA,6,2006,475000
187,NA,9947,1Fam,7,1990,1991,PConc,1188,GasA,Ex,Y,1217,0,1217,2,0,3,1,Gd,6,0,NA,1990,2,497,TA,NA,6,2009,173000
188,60,10410,1Fam,5,1916,1987,CBlock,660,GasA,Ex,Y,808,704,1656,2,1,3,1,TA,8,0,NA,1916,1,180,Fa,NA,8,2009,135000
189,64,7018,Duplex,5,1979,1979,CBlock,1086,GasA,TA,Y,1224,0,1224,0,2,2,2,TA,6,2,TA,1979,2,528,TA,NA,6,2009,153337
190,41,4923,TwnhsE,8,2001,2002,PConc,1593,GasA,Ex,Y,1593,0,1593,1,1,0,1,Ex,5,1,Gd,2001,2,682,TA,NA,8,2008,286000
191,70,10570,1Fam,8,1932,1994,CBlock,853,GasA,TA,Y,1549,1178,2727,2,1,3,1,Gd,10,2,TA,1932,2,440,TA,NA,12,2007,315000
192,NA,7472,1Fam,7,1972,2004,CBlock,725,GasA,Gd,Y,725,754,1479,1,1,4,1,Gd,7,0,NA,1972,2,484,TA,NA,6,2007,184000
193,68,9017,1Fam,7,1999,1999,PConc,1431,GasA,Ex,Y,1431,0,1431,2,0,3,1,Gd,6,0,NA,1999,2,666,TA,NA,9,2009,192000
194,24,2522,Twnhs,7,2004,2004,PConc,970,GasA,Ex,Y,970,739,1709,2,0,3,1,Gd,7,0,NA,2004,2,380,TA,NA,5,2006,130000
195,60,7180,1Fam,5,1972,1972,CBlock,864,GasA,TA,Y,864,0,864,1,0,3,1,TA,5,0,NA,1989,1,352,TA,NA,5,2008,127000
196,24,2280,Twnhs,6,1976,1976,CBlock,855,GasA,TA,Y,855,601,1456,2,1,3,1,TA,7,1,TA,1976,2,440,TA,NA,7,2009,148500
197,79,9416,1Fam,7,2007,2007,PConc,1726,GasA,Ex,Y,1726,0,1726,2,0,3,1,Ex,8,1,Gd,2007,3,786,TA,NA,9,2007,311872
198,174,25419,1Fam,8,1918,1990,PConc,1360,GasA,Gd,Y,1360,1360,3112,2,0,4,1,Gd,8,1,Ex,1918,2,795,TA,NA,3,2006,235000
199,92,5520,1Fam,6,1912,1950,CBlock,755,GasA,Ex,Y,929,929,2229,1,0,5,1,TA,8,0,NA,NA,0,0,NA,NA,7,2009,104000
200,76,9591,1Fam,8,2004,2005,PConc,1713,GasA,Ex,Y,1713,0,1713,2,0,3,1,Ex,7,1,Gd,2004,3,856,TA,NA,1,2009,274900
201,80,8546,1Fam,4,2003,2004,PConc,1121,GasA,Ex,Y,1121,0,1121,2,0,2,1,TA,5,0,NA,2003,2,440,TA,NA,3,2010,140000
202,75,10125,1Fam,6,1977,1977,CBlock,1196,GasA,TA,Y,1279,0,1279,2,0,3,1,TA,6,2,Fa,1980,2,473,TA,NA,2,2008,171500
203,50,7000,1Fam,6,1924,1950,BrkTil,617,GasA,Gd,Y,865,445,1310,2,0,2,1,TA,6,0,NA,1924,1,398,TA,NA,5,2006,112000
204,NA,4438,TwnhsE,6,2004,2004,PConc,848,GasA,Ex,Y,848,0,848,1,0,1,1,Gd,3,1,Gd,2004,2,420,TA,NA,1,2008,149000
205,50,3500,1Fam,5,1947,1950,CBlock,720,GasA,TA,Y,720,564,1284,1,1,2,1,TA,5,0,NA,1948,1,240,TA,NA,4,2009,110000
206,99,11851,1Fam,7,1990,1990,PConc,1424,GasA,Ex,Y,1442,0,1442,2,0,3,1,TA,5,0,NA,1990,2,500,TA,NA,5,2009,180500
207,40,13673,1Fam,5,1962,1962,CBlock,1140,GasA,TA,Y,1696,0,1696,1,1,3,1,TA,8,1,TA,1962,1,349,TA,NA,3,2007,143900
208,NA,12493,1Fam,4,1960,1960,PConc,1100,GasA,TA,Y,1100,0,1100,1,0,3,1,TA,6,1,Po,1960,1,312,TA,NA,4,2008,141000
209,NA,14364,1Fam,7,1988,1989,CBlock,1157,GasA,Ex,Y,1180,882,2062,2,1,3,1,TA,7,1,Gd,1988,2,454,TA,NA,4,2007,277000
210,75,8250,1Fam,6,1964,1964,CBlock,1092,GasA,Ex,Y,1092,0,1092,1,0,3,1,TA,6,0,NA,1964,2,504,TA,NA,7,2008,145000
211,67,5604,1Fam,5,1925,1950,CBlock,864,GasA,TA,N,864,0,864,1,0,2,1,TA,5,0,NA,NA,0,0,NA,NA,4,2008,98000
212,83,10420,1Fam,6,2009,2009,PConc,1212,GasA,Ex,Y,1212,0,1212,2,0,3,1,Gd,6,0,NA,2009,2,460,TA,NA,3,2010,186000
213,72,8640,1Fam,7,2009,2009,PConc,900,GasA,Ex,Y,932,920,1852,2,1,3,1,Gd,7,1,TA,2009,2,644,TA,NA,7,2009,252678
214,43,13568,1Fam,5,1995,1995,PConc,990,GasA,Ex,Y,990,0,990,1,0,3,1,TA,5,0,NA,1996,2,576,TA,NA,7,2006,156000
215,NA,10900,1Fam,6,1977,1977,CBlock,689,GasA,Ex,Y,689,703,1392,1,1,3,1,TA,6,0,NA,1977,1,299,TA,Shed,3,2010,161750
216,72,10011,1Fam,5,1957,1996,CBlock,1070,GasA,TA,Y,1236,0,1236,1,0,2,1,Gd,6,1,Fa,1957,1,447,TA,NA,5,2006,134450
217,65,8450,1Fam,7,2004,2004,PConc,1436,GasA,Ex,Y,1436,0,1436,2,0,3,1,Gd,8,0,NA,2004,2,484,TA,NA,4,2008,210000
218,57,9906,1Fam,4,1925,1950,CBlock,686,GasA,Fa,N,810,518,1328,1,0,3,1,TA,8,0,NA,1940,1,210,TA,NA,9,2006,107000
219,NA,15660,1Fam,7,1939,2006,CBlock,798,GasA,Ex,Y,1137,817,1954,1,1,3,1,Gd,8,2,TA,1939,2,431,TA,NA,5,2008,311500
220,43,3010,TwnhsE,7,2005,2006,PConc,1248,GasA,Ex,Y,1248,0,1248,2,0,2,1,Gd,5,0,NA,2005,2,438,TA,NA,3,2006,167240
221,73,8990,1Fam,7,2006,2006,PConc,1498,GasA,Ex,Y,1498,0,1498,2,0,2,1,Gd,5,0,NA,2006,2,675,TA,NA,4,2006,204900
222,NA,8068,1Fam,6,2002,2002,PConc,1010,GasA,Ex,Y,1010,1257,2267,2,1,4,1,Gd,8,1,TA,2002,2,390,TA,NA,12,2009,200000
223,85,11475,1Fam,6,1975,1975,CBlock,713,GasA,TA,Y,811,741,1552,2,1,3,1,TA,6,1,TA,1975,2,434,TA,NA,2,2006,179900
224,70,10500,1Fam,4,1971,1971,CBlock,864,GasA,Gd,Y,864,0,864,1,0,2,1,TA,4,0,NA,1989,2,576,TA,NA,3,2009,97000
225,103,13472,1Fam,10,2003,2003,PConc,2392,GasA,Ex,Y,2392,0,2392,2,0,3,1,Ex,8,1,Ex,2003,3,968,TA,NA,6,2009,386250
226,21,1680,Twnhs,5,1971,1971,CBlock,630,GasA,TA,Y,630,672,1302,2,1,3,1,TA,6,0,NA,1991,1,280,TA,NA,5,2009,112000
227,82,9950,1Fam,7,1995,1995,PConc,1203,GasA,Ex,Y,1214,1306,2520,2,1,4,1,Gd,9,1,TA,1995,3,721,TA,NA,6,2007,290000
228,21,1869,Twnhs,6,1970,1970,CBlock,483,GasA,TA,Y,483,504,987,1,1,2,1,TA,5,0,NA,1987,1,280,TA,NA,9,2008,106000
229,70,8521,1Fam,5,1967,1967,CBlock,912,GasA,TA,Y,912,0,912,1,0,3,1,TA,5,1,Fa,1974,1,336,TA,NA,5,2010,125000
230,43,3182,TwnhsE,7,2005,2006,PConc,1373,GasA,Ex,Y,1555,0,1555,2,0,2,1,Gd,7,1,TA,2005,2,430,TA,NA,5,2009,192500
231,73,8760,1Fam,6,1959,1959,CBlock,1194,GasA,TA,Y,1194,0,1194,1,0,3,1,TA,6,0,NA,1959,1,312,TA,NA,4,2010,148000
232,174,15138,1Fam,8,1995,1996,PConc,1462,GasA,Ex,Y,1490,1304,2794,2,1,4,1,Ex,9,1,TA,1995,3,810,TA,NA,7,2009,403000
233,21,1680,Twnhs,6,1972,1972,CBlock,483,GasA,TA,Y,483,504,987,1,1,2,1,TA,5,1,Po,1972,1,288,TA,NA,6,2006,94500
234,75,10650,1Fam,5,1976,1976,CBlock,894,GasA,TA,Y,894,0,894,1,0,3,1,TA,5,0,NA,1976,1,308,TA,NA,2,2010,128200
235,NA,7851,1Fam,6,2002,2002,PConc,860,GasA,Ex,Y,860,1100,1960,2,1,4,1,Gd,8,2,TA,2002,2,440,TA,NA,5,2010,216500
236,21,1680,TwnhsE,6,1971,1971,CBlock,483,GasA,TA,Y,483,504,987,1,1,2,1,TA,5,0,NA,1971,1,264,TA,NA,8,2008,89500
237,65,8773,1Fam,7,2004,2004,PConc,1414,GasA,Ex,Y,1414,0,1414,2,0,3,1,Gd,6,0,NA,2004,2,494,TA,NA,5,2010,185500
238,NA,9453,1Fam,7,1993,2003,PConc,996,GasA,Ex,Y,1014,730,1744,2,1,3,1,Gd,7,0,NA,1993,2,457,TA,NA,2,2010,194500
239,93,12030,1Fam,8,2007,2007,PConc,1694,GasA,Ex,Y,1694,0,1694,2,0,3,1,Gd,7,0,NA,2007,3,818,TA,NA,12,2007,318000
240,52,8741,1Fam,6,1945,1950,CBlock,735,GasA,TA,Y,798,689,1487,1,1,3,1,TA,7,1,Gd,1949,1,220,TA,NA,4,2010,113000
241,75,9000,1Fam,8,2008,2008,PConc,1566,GasA,Ex,Y,1566,0,1566,2,0,3,1,Gd,7,0,NA,2008,2,750,TA,NA,4,2010,262500
242,40,3880,1Fam,5,1945,1997,CBlock,686,GasA,Gd,Y,866,0,866,1,0,2,1,Gd,4,0,NA,NA,0,0,NA,NA,8,2007,110500
243,63,5000,1Fam,5,1900,1950,BrkTil,540,GasA,Gd,N,889,551,1440,1,0,3,1,TA,6,0,NA,1940,1,352,Fa,NA,4,2006,79000
244,75,10762,TwnhsE,6,1980,1980,CBlock,626,GasA,TA,Y,626,591,1217,1,1,3,1,TA,6,1,TA,1980,1,288,TA,NA,4,2009,120000
245,NA,8880,1Fam,7,1994,2002,PConc,948,GasA,Ex,Y,1222,888,2110,2,1,3,1,Gd,8,2,Fa,1994,2,463,TA,NA,5,2010,205000
246,80,10400,1Fam,7,1988,1988,CBlock,1845,GasA,Gd,Y,1872,0,1872,2,0,3,1,TA,6,1,TA,1988,2,604,TA,NA,6,2006,241500
247,69,9142,2fmCon,6,1910,1950,Stone,1020,GasA,Gd,N,908,1020,1928,2,0,4,2,Fa,9,0,NA,1910,1,440,Po,NA,4,2006,137000
248,75,11310,1Fam,6,1954,1954,CBlock,1367,GasA,Ex,Y,1375,0,1375,1,0,2,1,TA,5,1,TA,1954,2,451,TA,NA,6,2006,140000
249,72,11317,1Fam,7,2003,2003,PConc,840,GasA,Ex,Y,840,828,1668,2,1,3,1,Gd,8,0,NA,2003,2,500,TA,NA,9,2007,180000
250,NA,159000,1Fam,6,1958,2006,CBlock,1444,GasA,Gd,Y,1444,700,2144,2,0,4,1,Gd,7,2,TA,1958,2,389,TA,Shed,6,2007,277000
251,55,5350,1Fam,3,1940,1966,CBlock,728,GasA,Ex,Y,1306,0,1306,1,0,3,1,Fa,6,0,NA,NA,0,0,NA,Shed,5,2010,76500
252,44,4750,TwnhsE,8,2006,2007,PConc,1573,GasA,Ex,Y,1625,0,1625,2,0,2,1,Gd,5,1,Gd,2006,2,538,TA,NA,12,2007,235000
253,65,8366,1Fam,6,2004,2004,PConc,798,GasA,Ex,Y,798,842,1640,2,1,3,1,Gd,6,0,NA,2004,2,520,TA,NA,12,2008,173000
254,85,9350,1Fam,6,1964,1991,CBlock,1302,GasA,Ex,Y,1302,0,1302,2,0,3,1,Gd,7,0,NA,1964,1,309,TA,NA,10,2007,158000
255,70,8400,1Fam,5,1957,1957,CBlock,1314,GasA,TA,Y,1314,0,1314,1,0,3,1,TA,5,0,NA,1957,1,294,TA,NA,6,2010,145000
256,66,8738,1Fam,7,1999,1999,PConc,975,GasA,Ex,Y,1005,1286,2291,2,1,4,1,Gd,8,1,TA,1999,2,429,TA,NA,2,2006,230000
257,64,8791,1Fam,6,2003,2003,PConc,864,GasA,Ex,Y,864,864,1728,2,1,3,1,Gd,7,0,NA,2003,2,673,TA,NA,5,2008,207500
258,68,8814,1Fam,7,2006,2006,PConc,1604,GasA,Ex,Y,1604,0,1604,2,1,3,1,Gd,8,1,Gd,2006,2,660,TA,NA,3,2009,220000
259,80,12435,1Fam,7,2001,2001,PConc,963,GasA,Ex,Y,963,829,1792,2,1,3,1,Gd,7,1,TA,2001,2,564,TA,NA,5,2008,231500
260,70,12702,1Fam,5,1956,1956,PConc,0,GasA,Gd,Y,882,0,882,1,0,2,1,TA,4,0,NA,1956,1,308,TA,NA,12,2008,97000
261,120,19296,1Fam,6,1962,1962,CBlock,1362,GasA,TA,Y,1382,0,1382,1,0,3,1,TA,6,1,TA,1991,2,884,TA,NA,5,2009,176000
262,69,9588,1Fam,8,2007,2007,PConc,1482,GasA,Ex,Y,1482,1092,2574,2,1,3,1,Ex,10,1,Gd,2007,3,868,TA,NA,11,2007,276000
263,88,8471,1Fam,6,1977,1995,CBlock,506,GasA,TA,Y,1212,0,1212,1,0,3,1,TA,6,1,TA,1978,2,492,TA,NA,7,2006,151000
264,50,5500,1Fam,5,1929,2001,BrkTil,926,GasA,TA,Y,926,0,1316,1,0,3,1,TA,6,0,NA,1974,2,484,TA,NA,4,2010,130000
265,30,5232,1Fam,5,1925,2004,BrkTil,680,GasA,Gd,N,764,0,764,1,0,2,1,TA,4,0,NA,1965,2,504,TA,NA,6,2008,73000
266,78,12090,1Fam,6,1981,1981,CBlock,1422,GasA,TA,Y,1422,0,1422,2,0,3,1,Gd,7,1,TA,1981,2,576,TA,NA,6,2008,175500
267,70,11207,1Fam,6,1997,1997,PConc,802,GasA,Gd,Y,802,709,1511,2,1,3,1,TA,8,1,TA,1997,2,413,TA,NA,6,2006,185000
268,60,8400,1Fam,5,1939,1997,PConc,720,GasA,Ex,Y,1052,720,2192,2,1,4,1,Gd,8,1,Gd,1939,1,240,TA,NA,7,2008,179500
269,71,6900,1Fam,5,1940,1955,CBlock,740,GasA,Ex,Y,778,0,778,1,0,2,1,TA,4,1,Gd,1966,1,924,Ex,NA,2,2008,120500
270,NA,7917,1Fam,6,1976,1976,CBlock,1143,GasA,TA,Y,1113,0,1113,1,1,3,1,TA,6,1,Fa,1987,1,504,TA,NA,5,2007,148000
271,84,10728,1Fam,8,2006,2006,PConc,1095,GasA,Gd,Y,1095,844,1939,2,1,3,1,Gd,8,1,Gd,2006,3,1053,TA,NA,8,2006,266000
272,73,39104,1Fam,7,1954,2005,CBlock,1385,GasA,Ex,Y,1363,0,1363,1,0,2,1,TA,5,2,TA,1954,2,439,TA,NA,4,2008,241500
273,92,11764,1Fam,8,1999,2007,PConc,1152,GasA,Ex,Y,1164,1106,2270,2,1,4,1,Gd,9,1,Gd,1999,3,671,TA,NA,4,2010,290000
274,80,9600,1Fam,6,1958,1988,CBlock,1240,GasA,Gd,Y,1632,0,1632,2,0,3,1,TA,6,1,Gd,1958,1,338,TA,NA,4,2009,139000
275,76,8314,1Fam,5,1982,1982,CBlock,816,GasA,TA,Y,816,0,816,1,0,2,1,TA,5,0,NA,1982,1,264,TA,NA,6,2007,124500
276,55,7264,1Fam,7,1925,2007,BrkTil,952,GasW,Gd,N,952,596,1548,2,1,3,1,Ex,5,0,NA,1978,2,672,TA,NA,10,2009,205000
277,129,9196,1Fam,7,2003,2003,PConc,1560,GasA,Ex,Y,1560,0,1560,2,0,3,1,Gd,7,0,NA,2003,2,573,TA,NA,4,2010,201000
278,140,19138,1Fam,4,1951,1951,CBlock,864,GasA,Ex,Y,864,0,864,1,0,2,1,TA,4,0,NA,1951,2,400,TA,NA,6,2010,141000
279,107,14450,1Fam,9,2006,2007,PConc,2121,GasA,Ex,Y,2121,0,2121,2,1,3,1,Ex,8,1,Ex,2007,3,732,TA,NA,5,2007,415298
280,83,10005,1Fam,7,1977,1977,CBlock,1160,GasA,Ex,Y,1156,866,2022,2,1,4,1,TA,8,1,TA,1977,2,505,TA,NA,3,2008,192000
281,82,11287,1Fam,7,1989,1989,CBlock,807,GasA,Gd,Y,1175,807,1982,2,1,3,1,Gd,7,1,TA,1989,2,575,TA,NA,1,2007,228500
282,60,7200,1Fam,6,2006,2006,PConc,1262,GasA,Gd,Y,1262,0,1262,2,0,2,1,Gd,5,0,NA,2006,2,572,TA,NA,5,2006,185000
283,34,5063,Twnhs,7,2007,2008,PConc,1314,GasA,Ex,Y,1314,0,1314,2,0,2,1,Gd,6,1,Gd,2008,2,626,TA,NA,4,2009,207500
284,74,9612,1Fam,8,2008,2009,PConc,1468,GasA,Ex,Y,1468,0,1468,2,0,3,1,Gd,6,1,Gd,2008,3,898,TA,NA,12,2009,244600
285,50,8012,TwnhsE,6,1992,1992,PConc,1575,GasA,Gd,Y,1575,0,1575,2,0,2,1,Gd,5,0,NA,1992,2,529,TA,NA,7,2007,179200
286,35,4251,TwnhsE,7,2006,2007,PConc,625,GasA,Ex,Y,625,625,1250,2,1,2,1,Gd,5,0,NA,2006,2,528,TA,NA,6,2007,164700
287,77,9786,1Fam,6,1962,1981,CBlock,912,GasA,TA,Y,1085,649,1734,1,1,3,1,Gd,7,1,Gd,1962,2,440,TA,NA,6,2006,159000
288,NA,8125,1Fam,4,1971,1971,CBlock,858,GasA,TA,Y,858,0,858,1,0,3,1,TA,5,0,NA,NA,0,0,NA,NA,6,2006,88000
289,NA,9819,1Fam,5,1967,1967,CBlock,882,GasA,TA,Y,900,0,900,1,0,3,1,TA,5,0,NA,1970,1,280,TA,NA,2,2010,122000
290,60,8730,1Fam,6,1915,2003,BrkTil,698,GasA,Ex,Y,698,698,1396,1,0,3,1,TA,7,0,NA,2003,1,384,TA,NA,7,2007,153575
291,120,15611,1Fam,8,2006,2006,PConc,1079,GasA,Ex,Y,1079,840,1919,2,1,3,1,Gd,8,1,Gd,2006,2,685,Gd,NA,7,2006,233230
292,55,5687,2fmCon,5,1912,2000,PConc,780,GasA,Ex,N,936,780,1716,2,0,6,1,Fa,9,0,NA,NA,0,0,NA,NA,3,2008,135900
293,60,11409,1Fam,5,1949,2008,CBlock,768,GasA,Gd,Y,1148,568,1716,1,1,3,1,TA,8,1,Gd,1949,1,281,TA,NA,1,2009,131000
294,NA,16659,1Fam,7,1977,1994,CBlock,795,GasA,Fa,Y,1468,795,2263,2,1,3,1,Gd,9,1,TA,1977,2,539,TA,NA,3,2006,235000
295,80,9600,1Fam,6,1953,1953,CBlock,1416,GasA,TA,Y,1644,0,1644,1,0,3,1,TA,7,2,Gd,1953,2,418,TA,NA,10,2009,167000
296,37,7937,1Fam,6,1984,1984,CBlock,1003,GasA,TA,Y,1003,0,1003,1,0,3,1,TA,6,0,NA,1984,2,588,TA,NA,3,2006,142500
297,75,13710,1Fam,5,1950,1950,CBlock,910,GasA,TA,Y,910,648,1558,1,1,4,1,TA,6,0,NA,1950,1,282,TA,NA,6,2007,152000
298,66,7399,1Fam,7,1997,1998,PConc,975,GasA,Ex,Y,975,975,1950,2,1,3,1,Gd,7,1,TA,1997,2,576,TA,NA,6,2007,239000
299,90,11700,1Fam,6,1968,1968,CBlock,702,GasA,Gd,Y,1041,702,1743,1,2,3,1,TA,7,1,Gd,1968,2,539,TA,NA,6,2007,175000
300,80,14000,1Fam,6,1950,2004,CBlock,1092,GasA,Ex,Y,1152,0,1152,1,0,3,1,Gd,6,1,Gd,1950,1,300,TA,NA,8,2009,158500
301,90,15750,2fmCon,5,1953,1953,CBlock,1165,GasA,TA,Y,1336,0,1336,1,0,2,1,TA,5,2,Gd,1953,1,375,TA,NA,6,2006,157000
302,66,16226,1Fam,8,1998,1999,PConc,1028,GasA,Ex,Y,1210,1242,2452,2,1,4,1,Gd,9,1,TA,1998,2,683,TA,NA,5,2007,267000
303,118,13704,1Fam,7,2001,2002,PConc,1541,GasA,Ex,Y,1541,0,1541,2,0,3,1,Gd,6,1,TA,2001,3,843,TA,NA,1,2006,205000
304,70,9800,1Fam,5,1972,1972,PConc,894,GasA,TA,Y,894,0,894,1,0,3,1,TA,5,0,NA,1975,2,552,TA,NA,7,2006,149900
305,87,18386,1Fam,7,1880,2002,BrkTil,1470,GasA,Ex,Y,1675,1818,3493,3,0,3,1,Gd,10,1,Ex,2003,3,870,TA,NA,5,2008,295000
306,80,10386,1Fam,8,2004,2005,PConc,2000,GasA,Ex,Y,2000,0,2000,2,0,3,1,Gd,8,0,NA,2004,3,888,TA,NA,7,2007,305900
307,116,13474,1Fam,7,1990,1991,CBlock,700,GasA,Gd,Y,1122,1121,2243,2,1,4,1,Gd,8,1,TA,1990,3,746,TA,NA,6,2007,225000
308,NA,7920,1Fam,6,1920,1950,CBlock,319,GasA,TA,Y,1035,371,1406,1,0,3,1,Fa,6,0,NA,NA,0,0,NA,NA,3,2008,89500
309,NA,12342,1Fam,4,1940,1950,CBlock,861,GasA,Ex,Y,861,0,861,1,0,1,1,TA,4,0,NA,1961,2,539,TA,NA,3,2009,82500
310,90,12378,1Fam,9,2003,2004,PConc,1896,GasA,Ex,Y,1944,0,1944,2,0,3,1,Ex,8,3,Ex,2003,3,708,TA,NA,11,2006,360000
311,NA,7685,1Fam,6,1993,1994,PConc,697,GasA,Gd,Y,697,804,1501,2,1,3,1,Gd,6,1,TA,1993,2,420,TA,NA,5,2006,165600
312,50,8000,1Fam,6,1948,2002,CBlock,972,GasA,Ex,Y,972,0,972,1,0,2,1,TA,5,1,Gd,1948,1,240,TA,NA,5,2009,132000
313,65,7800,2fmCon,5,1939,1950,CBlock,793,GasA,TA,Y,793,325,1118,1,0,3,1,TA,5,1,Gd,1939,2,410,TA,NA,5,2006,119900
314,150,215245,1Fam,7,1965,1965,CBlock,2136,GasW,TA,Y,2036,0,2036,2,0,3,1,TA,8,2,Gd,1965,2,513,TA,NA,6,2009,375000
315,60,9600,1Fam,7,1925,1990,BrkTil,728,GasA,Ex,Y,832,809,1641,1,1,3,1,Ex,6,1,Gd,1925,2,546,Fa,NA,8,2006,178000
316,71,7795,1Fam,7,2004,2005,PConc,716,GasA,Ex,Y,716,716,1432,2,1,3,1,Gd,6,1,Gd,2004,2,432,TA,NA,7,2009,188500
317,94,13005,1Fam,7,1980,1980,CBlock,845,GasA,TA,Y,1153,1200,2353,2,1,4,1,Ex,10,1,TA,1983,2,484,TA,NA,8,2009,260000
318,75,9000,1Fam,8,2006,2006,PConc,1088,GasA,Ex,Y,1088,871,1959,2,1,3,1,Gd,8,1,Gd,2006,3,1025,TA,NA,12,2007,270000
